symbol,exchange,yahoo_ticker,company_name,aliases,sector,isin,scrip_code,source
AVAILFC,NSE,AVAILFC.NS,Available Finance,AVAILFC|Available Finance|Available Finance Limited,,INE325G01010,762558,IIFL_SCRIPMASTER
AVALON,NSE,AVALON.NS,Avalon Technologies,AVALON|Avalon Technologies|Avalon Technologies Limited,,INE0LCL01028,15058,IIFL_SCRIPMASTER
AVANTEL,NSE,AVANTEL.NS,Avantel,AVANTEL|Avantel|Avantel Limited,,INE005B01027,24610,IIFL_SCRIPMASTER
AVANTIFEED,NSE,AVANTIFEED.NS,Avanti Feeds,AVANTIFEED|Avanti Feeds|Avanti Feeds Limited,,INE871C01038,7936,IIFL_SCRIPMASTER
DMART,NSE,DMART.NS,Avenue Supermarts,Avenue Supermarts|Avenue Supermarts Limited|DMART,,INE192R01011,19913,IIFL_SCRIPMASTER
CCAVENUE,NSE,CCAVENUE.NS,Avenuesai,Avenuesai|Avenuesai Limited|CCAVENUE,,INE483S01020,16249,IIFL_SCRIPMASTER
AVG,NSE,AVG.NS,Avg Logistics,AVG|Avg Logistics|Avg Logistics Limited,,INE680Z01018,15589,IIFL_SCRIPMASTER
AVONMORE,NSE,AVONMORE.NS,Avonmore Cap&Mgt Serv,AVONMORE|Avonmore Cap&Mgt Serv|Avonmore Cap&Mgt Serv Limited,,INE323B01024,13557,IIFL_SCRIPMASTER
AVROIND,NSE,AVROIND.NS,Avro India,AVROIND|Avro India|Avro India Limited,,INE652Z01025,8827,IIFL_SCRIPMASTER
AVTNPL,NSE,AVTNPL.NS,Avt Natural Products,AVTNPL|Avt Natural Products|Avt Natural Products Limited,,INE488D01021,14008,IIFL_SCRIPMASTER
AWFIS,NSE,AWFIS.NS,Awfis Space Solutions,AWFIS|Awfis Space Solutions|Awfis Space Solutions Limited,,INE108V01019,23864,IIFL_SCRIPMASTER
AWL,NSE,AWL.NS,Awl Agri Business,AWL|Awl Agri Business|Awl Agri Business Limited,,INE699H01024,8110,IIFL_SCRIPMASTER
AXISBANK,NSE,AXISBANK.NS,Axis Bank,AXISBANK|Axis Bank|Axis Bank Limited,,INE238A01034,5900,IIFL_SCRIPMASTER
